lat,lon,timestamp,amenity,name,food,medical,gathering,transport,notable,tag_count
49.031787200000004,-122.8660271,2020-04-21T16:32:27.000-07:00,post_box,Canada Post,0,0,0,0,0,1
49.2567592,-123.185286,2019-05-06T23:08:07.000-07:00,bicycle_parking,,0,0,1,0,0,3
49.2226235,-123.0186297,2014-06-15T02:19:41.000-07:00,toilets,,0,0,0,0,0,0
49.271719399999995,-123.19155719999999,2019-07-23T16:05:05.000-07:00,cafe,Jericho Beach Consession,0,0,0,0,0,2
49.3023565,-122.95530149999999,2016-09-26T02:15:39.000-07:00,waste_basket,,0,0,0,0,0,0
49.2622859,-123.0983705,2019-11-19T22:35:39.000-08:00,pharmacy,Shoppers Drug Mart,0,1,0,0,0,4
49.1715063,-122.5779246,2016-05-04T00:41:08.000-07:00,bicycle_parking,,0,0,0,0,0,0
49.040177299999996,-122.2792725,2020-05-02T03:13:12.000-07:00,dojo,Sun Hang Do Martial Arts,0,0,1,0,0,6
49.2834259,-123.11496979999998,2010-05-16T17:48:48.000-07:00,parking,Impark,0,0,0,0,0,0
49.250555299999995,-123.07731059999999,2016-12-07T01:30:31.000-08:00,restaurant,Po Kong,1,0,0,0,0,7
49.0589295,-122.4953007,2010-10-07T10:53:05.000-07:00,restaurant,PHO TRAN,1,0,0,0,0,1
49.2540725,-123.2359295,2019-04-29T21:29:21.000-07:00,restaurant,Virtuous Pie,1,0,0,0,0,1
49.2675494,-123.16482169999999,2014-01-23T03:19:20.000-08:00,housing co-op,Trafalgar Housing Co-op,0,0,0,0,1,5
49.2633404,-123.132654,2019-09-13T13:57:07.000-07:00,cafe,Fufú Café,0,0,0,0,1,3
49.1475285,-123.0920246,2020-04-22T15:43:16.000-07:00,post_box,Canada Post,0,0,0,0,0,1
49.0430896,-122.31224350000001,2016-08-28T13:40:03.000-07:00,bench,,0,0,0,0,0,1
49.140771,-122.2841919,2017-01-23T05:54:51.000-08:00,recycling,,0,0,0,0,0,1
49.270325899999996,-123.1017662,2019-11-07T17:10:14.000-08:00,bicycle_parking,,0,0,1,0,0,3
49.262869200000004,-123.0693623,2010-11-12T07:00:25.000-08:00,vending_machine,,0,0,0,0,0,4
49.2832533,-123.1152027,2015-08-29T15:07:52.000-07:00,post_box,,0,0,0,0,0,0
49.2722143,-123.10781920000001,2019-03-28T08:48:41.000-07:00,bench,,0,0,0,0,1,6
49.1772657,-122.7365268,2017-05-03T20:06:41.000-07:00,bench,,0,0,0,0,0,1
49.0343554,-122.28767069999999,2019-12-09T20:27:28.000-08:00,bench,,0,0,0,0,0,0
49.2122339,-122.5262438,2018-01-01T06:44:37.000-08:00,waste_basket,,0,0,0,0,0,0
