lat,lon,risk
49.2886695878795,-123.11122800178936,0.3413842092138507
49.151790044201014,-123.18756748477394,0.29844391298844464
49.13545376391469,-123.10383173074943,0.4450404333203156
49.140340184851674,-123.12661560191334,0.4478893634457964
49.136881863022865,-123.13262245958522,0.495302338003881
49.13751088284798,-123.1411544595852,0.5232874661651225
49.16109535293035,-123.14275302092608,0.18600511719722515
49.14257246785887,-123.11378720191314,0.34467293148333145
49.145950970730155,-123.17851410191312,0.31853201018037536
49.232552850203845,-123.09253555958159,0.47137638397375037
49.2451181631563,-123.09642317307342,0.420329663502228
49.23655694779007,-123.12280637307384,0.32015157354123097
49.2148664267283,-123.0731930262085,0.29018397908476073
49.220584641716755,-123.02748770191026,0.4031320471897959
49.23979155054311,-123.12498650190949,0.3505304075131114
49.289996990961114,-123.13702863074356,0.21089318077400043
49.2234080650795,-123.09565830191013,0.461071710629299
49.21359491974233,-123.05793664423878,0.22149047368048302
49.24145796107918,-123.1006751019094,0.4530443596133246
49.21442784574385,-123.09653930191051,0.45807737020931316
49.24843122731446,-123.060852126634,0.38475865635663825
49.22046561149629,-123.1253147172538,0.3402778823153693
49.24963416571916,-123.09479970190912,0.2643444160559997
49.14002388462763,-123.13786320191336,0.5697198234176305
49.276997481251904,-123.12703843074397,0.3195764858615671
49.26834637858098,-123.07011500190852,0.3710239986580437
49.272539878871896,-123.06976158841594,0.3497757801416073
49.2623633029289,-123.261545414997,0.1878972328143644
49.27131697900278,-123.15476878841602,0.4954904819741481
49.26290967628973,-123.10737954608813,0.2090675118701702
49.28079548545287,-123.10406013074386,0.3866973912585111
49.177306865661905,-123.16823603074785,0.05474217870333353
49.2781939799794,-123.12461485957985,0.3752496828175399
49.27882698006933,-123.12340228841568,0.42298677093248166
49.28021448307846,-123.12204648841572,0.4225473503058897
49.27768288048393,-123.12572915957985,0.45905334498658423
49.276346480104436,-123.12685971725165,0.3158768234240613
49.27634217971642,-123.11972061540052,0.4964060429838755
49.27959488102678,-123.1229635037593,0.38826156802627226
49.26369667792065,-123.12721540190857,0.3596297576328353
49.27598748067845,-123.11963970190816,0.5155575959953436
49.283429080722996,-123.11921653074371,0.22373664879733599
49.286841886841685,-123.12412930190769,0.4367807209735401
49.28320817119082,-123.11455043074372,0.3056065901304795
49.27669547889577,-123.11984993074398,0.465160441767419
49.27653677850678,-123.1197997460876,0.47650987611432316
49.28288867015493,-123.12187863259504,0.2779714529792106
49.281525784948464,-123.13262390190802,0.49931603503753946
49.45536102770341,-123.23883277306541,0.14437983741884203
49.28107777616337,-123.13282331725156,0.4987791192663022
49.28297738065889,-123.09993870190796,0.2987894371503239
49.278943281598785,-123.12283458656457,0.4021464392216278
49.28518108261319,-123.11855278841551,0.34143737726798623
